Company,Stock Symbol,Transaction Date,Transaction Type,Shares,Share Price ($),Transaction Amount ($)
Harper-Torres,MiUj,2022-12-18,Interest,741,420.0,53677.08
Burns-Gray,OnRd,2023-08-25,Dividend,487,308.58,51039.25
Mccoy-Howe,KRtb,2023-11-01,Sell,303,482.17,99184.41
"Delgado, Underwood and Pace",BEAx,2023-05-09,Buy,803,56.93,78790.06
"Johnson, Johnson and Adams",jboI,2024-03-29,Dividend,647,340.99,64271.0
"Johnson, Kelly and Garza",KxNT,2024-09-20,Sell,631,292.45,88197.9
"Davidson, Rodriguez and Wagner",gGZI,2024-05-02,Buy,939,481.32,8012.36
Brewer-Ramirez,zBvx,2024-04-19,Interest,189,129.07,43304.5
"Davis, Young and Ibarra",skEu,2022-10-27,Interest,970,241.64,97250.85
Eaton and Sons,Deyi,2023-11-21,Buy,522,404.54,59197.46
Allen Group,FHTH,2023-02-12,Buy,242,418.87,69958.62
Horne-Lang,XbqN,2024-04-07,Dividend,660,381.66,21307.58
Garcia-Roberts,VBph,2023-05-17,Buy,898,165.22,40491.68
Garcia-Taylor,Hkbk,2024-03-19,Buy,158,499.93,64848.2
Peterson Group,MwSs,2023-11-17,Interest,127,103.55,87659.69
"Johnson, Wright and Gaines",ASSA,2024-09-18,Interest,935,319.56,84821.81
Smith-Taylor,Qlie,2023-10-17,Buy,177,309.55,42610.14
Cole LLC,nuNy,2024-04-19,Interest,388,77.75,31813.32
Mendez PLC,TUqM,2023-04-30,Sell,627,293.32,85606.49
Huynh-Bolton,iojp,2023-11-30,Dividend,796,462.75,27016.61
Griffin-Johnson,Lupg,2023-04-12,Dividend,224,139.38,35118.74
Patel-Marshall,cXFG,2023-06-19,Sell,496,173.82,16568.43
Campbell-Rivera,SBBN,2024-03-31,Sell,204,145.63,10086.64
Wise-Marquez,xXot,2023-04-03,Dividend,386,354.21,71121.6
"Grimes, Hunt and Espinoza",UjUm,2023-06-07,Sell,981,25.77,56507.35
"Bautista, Patel and Jones",KDmb,2024-03-01,Sell,683,43.68,97012.62
"Ryan, White and Young",dJtZ,2022-11-30,Buy,513,246.77,35708.49
Beck Inc,kYlf,2024-02-25,Interest,949,499.21,12496.5
White-Benitez,HwDq,2024-06-21,Interest,475,490.48,19123.68
"Tucker, Goodwin and Bishop",dCqA,2023-12-13,Sell,965,478.87,5965.92
Allen PLC,WEwR,2024-03-01,Dividend,932,357.23,92833.06
"Willis, Parker and Moore",sKvV,2023-08-22,Interest,707,271.68,44805.56
Frazier Group,RfOF,2024-06-28,Interest,200,476.12,56623.71
"Griffith, Houston and Benson",mMug,2022-12-29,Interest,83,151.54,78637.2
"Ryan, Guzman and Casey",ESUa,2024-03-04,Dividend,948,439.56,33932.68
Nelson Group,nlXb,2023-07-02,Sell,317,236.57,23946.17
"Luna, Hall and Edwards",BMWW,2022-12-09,Buy,190,303.14,96945.87
Nguyen-Hall,VvXC,2024-07-21,Dividend,755,216.64,68097.42
Clark-Johnston,tgTh,2024-02-06,Buy,491,481.45,8810.3
Buck-Moss,IkPC,2023-10-10,Interest,938,211.37,89749.02
Wise and Sons,qxdd,2023-05-14,Sell,554,9.12,8160.44
Rivera-Heath,PSEt,2023-12-14,Sell,682,445.32,14273.23
Gates-Andrews,MGpa,2023-09-02,Sell,209,110.8,47312.07
Franklin PLC,zoQq,2024-08-19,Interest,55,88.51,86696.33
Wu-Gibson,PzCe,2022-10-31,Dividend,788,266.23,6420.03
Acosta-Murray,ScOj,2024-06-11,Buy,758,265.25,27533.27
Armstrong-Henderson,wNpm,2023-04-05,Sell,551,259.44,80811.6
"Gaines, Moore and White",nCoc,2023-12-25,Sell,773,449.19,56362.71
Brown-Dillon,JDmy,2023-01-05,Sell,148,250.66,23549.32
"Jackson, Weber and Gibson",lXlb,2023-06-30,Sell,696,488.91,94257.03
Taylor-Andrade,Whly,2022-11-16,Dividend,148,245.73,83419.03
Holt-Bass,EySh,2024-02-27,Interest,348,216.81,67054.19
"Mercado, Pearson and Weiss",qjxY,2023-06-29,Buy,691,387.77,62674.67
Ingram LLC,khIQ,2023-10-02,Sell,390,443.63,42804.94
"Brooks, Mayo and Williams",Mkur,2024-06-01,Interest,31,314.21,53629.92
Reed and Sons,bcyN,2023-08-12,Sell,678,86.64,12605.6
"Frank, Padilla and Rivers",XCsL,2023-04-09,Sell,108,278.76,80050.37
Oconnor-Mcgee,iJvb,2024-01-28,Buy,397,92.17,73667.96
Martinez and Sons,ibFr,2023-10-23,Sell,785,405.79,95211.14
Dunn PLC,LxSu,2023-06-05,Sell,36,388.43,41222.92
Robbins-Velasquez,RGrD,2024-06-21,Dividend,347,438.1,30513.25
Gonzalez-Thomas,rIJO,2024-07-09,Dividend,74,63.33,14613.82
"Mendoza, Williams and Hicks",TPlt,2024-03-01,Sell,519,128.57,91848.52
"Taylor, Wood and French",pOXD,2024-07-11,Sell,536,435.92,25743.87
Rodriguez PLC,Bypy,2023-04-07,Buy,638,222.43,77210.03
Johnston Inc,ixHO,2023-09-09,Buy,394,404.62,77374.59
Thompson-Lopez,JGoe,2022-12-05,Interest,249,419.41,93670.24
Hall PLC,RKEX,2023-10-09,Buy,919,283.98,11947.39
Vaughan LLC,ItSn,2023-10-26,Sell,866,137.88,38696.1
Navarro Inc,oMbG,2024-04-28,Sell,344,410.96,53887.93
Ramirez Group,Ztmb,2023-07-01,Dividend,496,41.16,61189.42
Kennedy-Lee,gvBc,2023-01-29,Sell,549,80.43,17322.85
"Reilly, Dunn and Sherman",Lwqf,2024-05-04,Buy,832,251.82,55066.56
Lopez Group,ywPI,2023-02-07,Dividend,790,491.44,77196.25
Martinez Inc,BTgk,2024-02-28,Sell,867,455.33,35763.58
Saunders Group,eyTk,2022-11-23,Dividend,851,193.96,44609.08
White and Sons,Kihx,2023-11-14,Interest,888,53.69,40431.08
Nguyen-Harrell,CaQk,2024-05-15,Buy,754,200.83,40258.81
"Jordan, Summers and Grant",WPGu,2024-09-05,Sell,615,361.86,34531.03
Tanner Inc,hdmv,2024-02-16,Sell,495,149.83,28570.4
"Freeman, Carney and Hughes",kyIR,2024-09-12,Buy,211,62.92,61234.66
Nelson Ltd,txdI,2024-02-18,Buy,743,108.25,90748.12
Bradley PLC,HgHZ,2024-02-29,Buy,37,141.06,86330.92
Garcia LLC,fJye,2023-12-17,Dividend,741,269.72,69081.42
Calderon Group,DaXF,2022-10-31,Dividend,223,317.77,14695.89
Mcmillan and Sons,nxyD,2023-10-21,Dividend,158,278.54,98399.58
Garcia and Sons,aRdV,2022-12-30,Interest,776,325.84,85606.95
Green LLC,EdiV,2022-11-30,Dividend,642,191.08,74696.68
Waller Inc,OYmS,2023-09-01,Buy,412,123.94,37563.69
Weaver-Mcdonald,kuVc,2023-01-03,Sell,1,146.46,75042.32
Reed Inc,Mwfj,2023-11-04,Sell,389,81.35,23316.41
Brady Group,REkZ,2023-09-12,Sell,773,360.14,40172.74
Barry-Rodriguez,XdhM,2022-10-10,Interest,762,259.21,51659.8
Taylor-Smith,THdS,2022-12-01,Interest,341,191.24,14465.86
Martin-Turner,BXSU,2024-05-12,Buy,972,154.54,57971.24
"Dickerson, Stewart and Bentley",wbZR,2023-08-09,Interest,499,99.39,63499.06
"Mcguire, Harris and Kelley",QubF,2023-08-10,Dividend,566,250.37,2386.79
"Ruiz, Mitchell and Ali",MSGg,2023-05-11,Sell,919,82.95,53395.01
Morgan Ltd,BbPV,2024-02-20,Sell,561,263.21,65347.63
Gomez Inc,BWhy,2023-08-22,Sell,648,216.33,5212.64
Kelly-Schultz,kIPb,2024-03-15,Buy,715,494.03,71473.08
"Lee, Trevino and White",HXnJ,2024-09-06,Sell,981,489.77,86534.9
Miller-Henderson,xuVX,2023-11-05,Interest,520,208.72,3263.63
Cannon Inc,QnKY,2023-08-03,Buy,200,415.9,39530.64
Gomez-Mcdonald,mbpD,2023-12-03,Dividend,755,254.72,31880.16
"Beck, Thompson and Romero",BZDn,2023-03-10,Buy,863,31.33,34882.33
"Mercado, Fischer and Silva",ajrX,2023-10-10,Interest,132,177.34,69995.35
Bell-Weiss,ToFV,2022-10-01,Interest,889,484.41,61979.44
Smith-Grant,JHbK,2024-03-13,Dividend,405,96.47,47311.02
"Terry, Campbell and Watkins",UHan,2023-07-05,Sell,332,217.76,64371.04
Walters and Sons,Hpxl,2024-05-17,Buy,472,405.19,21552.76
Coleman Group,BReS,2023-03-11,Buy,226,152.28,67523.95
Anderson Inc,XlMq,2023-01-24,Interest,458,434.37,9428.24
Lowe Ltd,QOYG,2024-04-20,Dividend,962,68.16,85727.1
"Jackson, Wilson and Taylor",eaXI,2024-02-05,Sell,804,340.76,37055.31
Murray-Rodriguez,EFmr,2023-05-14,Interest,220,101.38,31615.6
Ayers PLC,hami,2024-03-21,Interest,688,125.47,23754.43
"Smith, Carter and Eaton",ljkq,2023-07-12,Dividend,400,462.66,13800.78
Williams-Mcconnell,Qxiz,2023-09-21,Sell,750,201.61,82448.37
"Keith, Liu and Davis",caRh,2024-09-15,Sell,718,170.93,70153.1
"Soto, Moody and Stewart",iTTB,2023-06-05,Buy,580,202.17,90345.38
"Dixon, Watts and Castaneda",DpKF,2024-08-18,Dividend,396,193.16,4536.05
Medina-Ramirez,sjXg,2023-03-17,Interest,811,257.61,61193.17
Harris Group,tYmo,2022-12-17,Sell,907,56.12,16858.95
"Molina, Warren and Williams",sgaj,2023-01-19,Interest,221,411.29,92104.73
"Bell, Stevens and Sutton",Snrf,2023-08-03,Interest,802,378.9,13387.64
Turner LLC,zajZ,2024-05-10,Sell,690,453.55,18228.63
Hoover LLC,LWqu,2023-04-09,Interest,562,63.88,50037.17
Smith-Alvarado,ZJQx,2024-05-13,Sell,568,190.99,28096.41
Park-Ballard,ShzR,2023-05-29,Dividend,743,151.64,80080.7
"Singh, Gordon and Johnson",tPBh,2023-07-24,Dividend,394,60.22,79498.21
Hubbard-Cox,kKPY,2024-07-31,Dividend,485,326.86,13649.48
Manning Ltd,JGHo,2023-08-09,Buy,245,227.83,34054.62
Fuller Inc,eYYN,2024-03-11,Buy,730,243.68,6344.32
"Villegas, Davis and Norman",UeMt,2023-10-14,Sell,629,26.93,30750.49
"Padilla, Clark and Robbins",PVVT,2023-02-01,Sell,23,175.94,48061.75
Glenn-Torres,zFup,2024-08-09,Buy,300,162.81,96754.18
Austin-Glover,JMCZ,2022-09-23,Buy,305,24.96,45933.02
Chandler Group,VYqf,2024-07-29,Sell,787,239.9,49755.02
Graham-Robinson,sjoA,2023-05-07,Interest,309,250.62,11157.57
"Young, Jordan and Todd",AatV,2024-03-24,Buy,521,322.02,21255.3
Walker-Hart,GimP,2023-11-03,Interest,955,253.79,71978.47
"Fowler, Butler and Parker",jskj,2024-05-17,Dividend,176,314.92,38645.56
Matthews-Frye,tmvO,2023-07-16,Sell,736,297.31,96363.24
"Cole, Terry and Goodman",HqJu,2022-10-24,Sell,784,463.45,18171.06
"Pham, Hernandez and Lee",PKQD,2023-03-05,Sell,32,52.75,34735.04
Gardner-Wilson,SwSA,2024-08-09,Buy,836,391.63,42376.8
Brown-Martin,JojO,2023-12-20,Sell,987,481.72,20456.44
"Diaz, Torres and Wolf",PEtp,2022-12-01,Sell,499,229.36,70048.9
Martin PLC,xEjd,2023-08-09,Interest,660,262.87,74525.77
"Ramirez, Yates and Schneider",XBMV,2022-10-27,Dividend,62,226.83,30397.52
"Young, Mccoy and Davidson",xURQ,2024-06-22,Sell,987,353.69,91925.68
"Burke, Miller and Larson",TJbD,2024-02-13,Buy,867,68.72,35100.59
Crawford and Sons,gkJr,2023-03-20,Dividend,326,232.79,32222.73
Wong-Freeman,ByTb,2022-12-21,Sell,451,407.06,88274.77
Edwards PLC,LiId,2024-01-19,Interest,308,282.37,64446.94
Reeves and Sons,AOqU,2024-02-12,Interest,267,281.49,59543.2
Allen PLC,jdDV,2023-08-09,Dividend,494,42.9,27118.07
Smith-Jones,mHnX,2024-03-10,Buy,529,300.33,44665.87
"Cruz, Travis and Stewart",UfZD,2024-08-06,Interest,425,258.87,45491.22
"Ward, Gonzalez and Mcclain",vkIL,2024-06-07,Buy,653,162.66,8585.26
"Perez, Jones and Nelson",Dvpc,2024-01-31,Buy,565,230.99,1816.06
Johnson-Nichols,Wtnv,2024-07-02,Sell,308,31.87,89521.88
Marsh LLC,bjfY,2024-03-20,Sell,319,289.69,92695.22
"Martinez, Molina and Stanton",CGRi,2023-11-15,Buy,306,319.78,49824.01
Flores and Sons,nRvD,2024-05-15,Dividend,930,24.03,4133.94
Benjamin Ltd,Dsut,2023-06-07,Interest,851,311.53,41815.13
"Perez, Jones and Sanchez",oDlZ,2022-09-29,Dividend,148,450.33,92039.36
Camacho-Brady,LWfq,2023-06-12,Buy,877,238.44,46398.16
"Garcia, Miller and Smith",BbGg,2023-09-24,Interest,392,225.06,8154.19
Taylor LLC,GBks,2023-06-13,Dividend,817,350.11,24220.41
"Molina, Gonzalez and Greer",lauW,2024-01-04,Interest,325,497.91,71739.73
Reyes and Sons,JphH,2024-01-07,Sell,4,486.03,88896.37
"Blankenship, Dorsey and Mendoza",IxZp,2024-03-16,Interest,674,409.2,6857.11
"Page, Hernandez and Chang",PDmz,2023-02-11,Interest,806,276.21,52900.93
"Wright, Meyer and Wright",rfLo,2023-04-09,Interest,517,463.29,96186.4
Miller Inc,HCDz,2024-03-24,Dividend,688,252.89,84265.2
Moss-Kramer,cXSp,2022-12-24,Dividend,686,403.89,88530.01
Torres and Sons,Bwtq,2023-01-08,Sell,773,327.99,92176.26
"Hudson, Miller and Glenn",omHT,2022-12-05,Buy,607,331.37,62692.16
Hurst LLC,nQPy,2023-09-25,Interest,944,448.59,65790.25
Flynn and Sons,YApJ,2023-12-19,Interest,658,240.25,4748.69
Glenn-Harper,ToZq,2023-05-14,Sell,31,388.54,13197.13
Davis Ltd,DUNy,2022-12-23,Sell,773,240.22,36987.7
Davis Group,ekdC,2023-12-29,Buy,588,279.11,60539.65
Wall PLC,MRLu,2023-03-05,Buy,583,296.05,42056.18
Watson and Sons,RAOC,2023-03-17,Buy,649,432.4,35044.92
"George, Macias and Garrett",FdYx,2024-03-10,Buy,475,201.27,37170.84
Moore Group,HCBi,2024-06-11,Sell,788,474.12,17419.78
Chang-Johnson,xzZa,2023-09-14,Buy,355,135.31,22301.63
Butler PLC,cngU,2023-12-03,Interest,321,125.46,60189.69
Hernandez-Hoover,NUIR,2023-10-12,Buy,711,17.92,71354.4
Griffin-Martin,JiuN,2023-10-11,Buy,62,147.77,3040.6
Ross-Stephenson,Sjjp,2022-10-21,Interest,254,188.39,22088.78
Alvarez Inc,kndN,2023-02-17,Interest,3,297.27,6873.66
Carter-Cox,cgbd,2024-08-11,Dividend,98,121.61,48923.67
"Spears, Velasquez and Wong",kLFQ,2024-08-07,Sell,214,78.8,84687.5
Bailey LLC,vzwi,2022-11-28,Sell,1,357.24,77785.12
Gonzalez-Diaz,zZny,2023-01-20,Interest,554,263.71,82373.74
Smith PLC,ObVK,2023-05-03,Sell,510,74.25,39874.33
Chavez PLC,LFFu,2023-07-10,Sell,315,421.37,83220.29
Davis Ltd,Vvbm,2022-10-13,Dividend,592,153.07,52916.04
Jenkins LLC,jOuV,2023-04-16,Sell,381,74.93,78401.82
Fry Inc,IYkl,2023-07-26,Sell,398,46.92,27097.02
Villanueva and Sons,kiXP,2023-04-14,Sell,894,442.77,93169.51
"Russell, Daniels and Wood",ajQY,2023-05-24,Dividend,262,443.02,66607.53
Torres-Smith,EEQW,2023-09-08,Interest,508,349.19,85192.84
Ibarra-Harris,uJxc,2022-12-08,Buy,947,58.05,66139.15
"Hart, Frank and Cole",cuoV,2022-12-12,Dividend,243,440.45,37506.02
Villarreal-Davis,HOgX,2023-02-25,Interest,152,209.25,41999.81
Harris-Martinez,gPNZ,2023-07-18,Buy,916,375.57,3211.23
Arias Group,igmN,2024-04-28,Interest,468,399.2,53562.92
"Anderson, Jacobson and Mullen",WOoq,2023-04-12,Sell,799,361.56,93702.24
Byrd-Gordon,caoS,2022-11-12,Dividend,123,450.01,56608.42
Lowe Inc,ZdAT,2023-06-26,Interest,23,194.22,61965.13
Valdez-Gonzalez,vhqw,2023-05-06,Buy,838,48.32,88780.66
Smith-Alvarez,isqX,2023-01-19,Dividend,195,490.21,94745.94
"Douglas, Hubbard and Diaz",FiHQ,2023-08-25,Sell,737,290.94,50220.98
Montes Group,CiSU,2023-11-19,Interest,16,215.39,61532.33
Brady-Adkins,HFEd,2024-06-08,Buy,80,278.77,83911.15
"Heath, Acosta and Reyes",UTbK,2024-03-11,Sell,940,239.74,61243.76
Thomas Inc,aTCW,2022-10-13,Interest,86,32.14,75515.53
Hansen-Patrick,nUuD,2024-01-27,Dividend,674,475.4,22698.82
Powers Ltd,Lpry,2023-11-10,Buy,285,106.65,76187.0
Mitchell Inc,igKB,2024-08-11,Dividend,984,59.11,35734.28
"Walker, Gonzalez and Marsh",rpFT,2024-01-16,Sell,958,256.82,81256.06
Lopez-Martinez,Byuj,2022-10-26,Sell,597,348.94,88010.26
Soto-Griffin,Chbd,2023-08-16,Interest,833,459.56,42671.16
Franklin LLC,dhib,2024-04-01,Interest,588,439.27,27991.66
"Johnson, George and Scott",sCsX,2024-08-10,Sell,670,240.28,68773.6
Collins-Spencer,aIXB,2024-01-10,Buy,555,344.99,5869.3
Thomas-Everett,Pzbw,2024-04-23,Interest,836,401.47,52265.03
Martin Inc,TVWZ,2023-10-14,Interest,171,429.83,13935.6
Stewart Inc,iecC,2023-04-07,Buy,793,77.42,1606.72
Townsend LLC,WoBN,2023-04-15,Sell,746,309.17,10357.52
"Smith, Castaneda and Stanley",KYQe,2023-03-29,Sell,988,265.15,48693.29
"Davidson, Pena and Zuniga",ppVr,2023-05-05,Dividend,715,231.82,94505.49
Mitchell and Sons,Bmns,2023-08-20,Sell,300,10.04,30143.85
Kelly-Jones,XRGB,2023-10-07,Buy,714,371.56,72168.3
Wright-Powell,vdxR,2023-03-11,Buy,258,21.31,2102.98
Hardin-Alexander,qIfH,2023-08-30,Buy,57,339.23,92518.95
Buchanan-Gonzalez,OXsy,2024-08-20,Sell,328,88.69,2132.31
Mcgee LLC,uSBd,2023-02-17,Dividend,91,132.95,3720.05
Price and Sons,gXKi,2024-05-07,Buy,914,125.31,19945.04
Houston-Watson,vFiu,2024-05-14,Sell,701,475.2,81714.9
Anderson LLC,VbGr,2023-09-29,Interest,24,164.2,14425.45
"Bullock, Perkins and Williams",ruEH,2022-12-01,Dividend,572,259.14,10416.81
Beck-Banks,Pgmv,2023-12-22,Interest,577,311.15,27594.92
Ellis Inc,DNCl,2023-06-26,Interest,57,483.11,37183.13
Jordan-Carlson,XBuB,2023-02-22,Interest,973,359.69,11729.35
Burke-Reed,msXd,2023-05-26,Interest,480,427.67,1391.52
"Walker, Young and Gardner",BJoT,2023-01-03,Buy,426,403.57,82285.59
Johnson-Rice,wJdv,2024-08-03,Dividend,301,201.2,20068.07
"Marsh, Roberts and Moore",AwRd,2022-12-23,Interest,828,109.86,68357.84
Brown-Hall,LdnD,2024-08-11,Buy,265,272.06,77626.55
"Dixon, Flores and Stewart",QsuV,2023-12-22,Interest,175,423.33,96096.68
Wright-Decker,dBHx,2023-07-15,Buy,859,357.57,79044.18
"Perez, Johnson and Rowe",DCyJ,2023-04-16,Sell,582,328.28,23316.49
"Schmidt, Underwood and Wilson",VCaU,2024-01-05,Interest,810,28.7,7352.25
"Moore, Garcia and Diaz",asNE,2024-08-31,Sell,243,256.09,31072.13
Davis-Francis,NJWM,2023-10-01,Dividend,477,365.45,5147.64
Reed PLC,BPYR,2024-09-16,Dividend,808,140.48,7632.17
Barnett PLC,cecC,2023-05-28,Dividend,75,79.57,77044.38
Powell LLC,gwVk,2023-10-23,Buy,135,253.89,85362.69
